date,brand,predict_result
1,1,30.987789568401098
1,6,10.0
1,9,10.0
2,4,10.0
2,6,10.0
2,7,30.04076406664963
2,10,47.999189379164804
3,4,7.110930950514032
3,6,10.0
3,8,10.0
4,10,1175.5829117363633
4,9,992.0672271965545
4,8,110.92252671990076
4,7,240.14727907708507
4,2,485.10625331214726
4,4,797.7837538217539
4,3,464.24788024941853
4,1,676.1870111613231
4,6,285.4523446812828
5,8,42.60034365989753
5,10,680.00091168546
5,9,665.5623967845701
5,7,223.44577747006159
5,2,409.3096488897441
5,4,565.174887481506
5,3,295.4187977783773
5,1,534.9316368193738
5,6,161.02227753302117
6,10,715.8585243200821
6,9,713.9206522890529
6,8,154.555117595571
6,7,268.1448422017716
6,6,195.57063619338496
6,3,296.5555209422081
6,2,376.38255557136677
6,1,518.6830279029374
6,4,511.15374303515927
7,8,152.60708245977617
7,10,850.5624006641721
7,9,842.9788786320688
7,7,294.97322331940893
7,2,480.58584031787177
7,4,691.488075925143
7,1,636.2568463731775
7,6,246.19423479743784
7,3,353.1207043585995
8,1,579.4661043468313
8,2,436.36078948995487
8,3,392.59889386428586
8,4,713.8498193803327
8,7,319.4374544515326
8,8,119.83148585028448
8,9,829.5376636040486
8,10,832.6936869289293
8,6,255.41109441768262
9,7,287.91823908337886
9,9,763.3377074982563
9,8,83.32646195454151
9,10,798.866802587416
9,6,232.6624876059392
9,3,354.61329947336844
9,2,409.9113860640783
9,1,535.7366301594818
9,4,617.5699263382836
10,10,715.0541012561349
10,9,619.606125103646
10,8,29.556591944383285
10,7,242.32449228258196
10,6,187.81878215752636
10,3,296.05557806697016
10,2,347.408391806174
10,1,476.2871631747377
10,4,495.4314126977037
11,7,287.2608735124094
11,10,787.4721220049731
11,8,54.99191521712794
11,6,228.26539261123946
11,9,721.4522962446177
11,3,341.02203464463173
11,2,384.1643893432059
11,4,547.435223411267
11,1,507.45893929522435
12,10,77.9864567637558
12,9,123.18784026079652
12,7,67.77722518380051
12,8,26.030279590590716
12,4,90.24210216319601
12,1,72.06998671187628
12,6,41.684908250854676
13,1,39.09930838401818
13,3,51.595373596739634
13,9,30.855497813469782
14,7,298.51376064549606
14,10,874.913172851392
14,8,111.32155994644279
14,6,240.66004261991796
14,9,756.825281290611
14,3,396.4138645514782
14,2,414.8122737911492
14,4,657.6856781924415
14,1,575.3071869408191
15,9,794.9566194281142
15,8,124.18517360351024
15,7,340.0927230164098
15,6,270.7635860702499
15,10,845.5002585496844
15,3,402.198392433002
15,2,450.30603340677396
15,1,564.3187372337652
15,4,705.4371491648772
16,1,513.6001098785562
16,2,418.2409850892035
16,3,359.0190304639025
16,4,601.1665444133354
16,6,244.0063332221007
16,7,301.13602563501377
16,9,731.1166238684909
16,10,804.0690506539164
17,8,34.83183189438216
17,9,590.7339584675342
17,10,713.2924872152702
17,7,248.1774058308138
17,2,350.3191545170846
17,4,472.4882186130655
17,3,295.40169031790504
17,1,448.630480844652
17,6,195.30751276675414
18,1,475.8422100868391
18,2,381.9402006090573
18,3,335.5190366575264
18,4,519.49824739379
18,6,232.10146944919262
18,7,285.9466712359128
18,8,60.768609262917835
18,9,696.7900574026571
18,10,779.4604937726253
19,10,68.5389451501589
19,7,40.94843272730698
19,6,34.11870054366169
19,9,111.97012293966964
19,3,91.76495387962636
19,1,61.47687610376841
19,4,68.10088206405658
20,1,28.238476259071746
20,6,10.0
20,7,13.275073259638154
20,9,20.31773878641998
20,10,38.94645121776762
21,10,852.8526342690062
21,9,748.3632546604108
