date,predict
1,613.0716359930884
2,77.25226403198542
3,5363.221543353648
4,5218.360155907476
5,4627.627512610103
6,4584.001593732156
7,4135.912230410469
8,2446.7692742770223
9,2091.2785551359166
10,2368.5960150097144
11,745.9060720533237
12,2688.283831462123
13,2840.122784132479
14,2427.71207259768
15,1972.6339381526277
16,2304.7433287359277
17,702.8374048084197
18,565.316945971538
19,2611.765172992651
20,2733.9709099055954
21,2401.894175993569
22,1992.6209570270753
23,2301.7193289750876
24,676.7982868962899
25,2603.704376339867
26,3562.763583827478
27,3192.0008879697098
28,2747.3254609055257
29,2885.581866919777
30,440.72057498942013
31,312.98336289305837
32,3723.413456946362
33,3676.8495407020023
34,3428.827034254502
35,3092.784357398914
36,1133.1797181168388
37,15.0
38,15.0
39,3220.479460987351
40,2954.9613046066515
41,3412.6895402268324
42,3491.7679330741203
43,3139.4129400937522
44,1669.9021078302771
45,1930.5763906888792
46,316.6778050737189
47,2310.7923386658767
48,2418.8898157465164
49,2041.8352210340604
50,1625.0313335155417
51,1679.3773774727256
52,20.31486019408908
53,2002.0128001282087
54,2168.3141766804083
55,1778.412451465837
56,1322.5971918084779
57,1616.597764524271
58,15.0
59,15.0
60,2039.783782509326
61,2119.657869965011
62,1727.0002399250288
63,1323.0593908376477
64,1567.2689654698504
65,15.0
66,1954.8807573422414
67,2010.5686485532415
68,1662.818233200747
69,1225.381262176244
70,1532.1432568215923
71,15.0
72,1886.2699070327255
73,1987.5314185106804
74,1624.7724066379092
75,1203.614255249909
76,1443.9037733332575
77,15.0
78,15.0
79,2112.3139777231445
80,2216.026778899274
81,1782.5407844320898
82,15.0
83,15.0
84,15.0
85,1691.9593811709603
86,2055.544138369431
87,2067.1736204183435
88,1722.9204137780848
89,1315.0896255927405
90,1604.2850791704702
91,15.0
92,1978.4013034289421
93,2081.706688348862
94,1676.6650261893246
95,1303.4524810320445
96,1549.8750915611731
97,15.0
98,15.0
99,1953.1762941777793
100,2029.5886345840695
101,1652.7736764755614
102,1238.4665404518282
103,1489.6763204835106
104,1664.204371862876
105,1488.617346840103
106,15.0
107,1458.2584935255027
108,1761.3660132042926
109,126.09572200173488
110,2144.8768319577857
111,2220.9044379973525
112,1863.9863404118973
113,1416.2783856542997
114,1717.5743514912242
115,117.19788302726965
116,15.0
117,2102.1877706751097
118,2128.4485376233984
119,1716.7784703294312
120,1418.9655128231857
121,1631.9312129173832
122,82.68395463391312
123,1967.431050359387
124,2112.922222252557
125,1665.6947731197695
126,1346.128045914566
127,1584.5590113543967
128,16.131779881041894
129,2001.6007589845667
130,2082.758951592664
131,1740.1445055686468
132,1268.7696872735569
133,1612.3542455374386
134,15.0
135,15.0
136,1910.8343127555977
137,2044.017920334262
138,1665.01560615897
139,1265.3476225706027
140,1510.4213609393955
141,1688.1818871038138
142,1515.9963730851614
143,15.0
144,1171.7639247217776
145,1445.6380038140637
146,15.0
147,15.0
148,1903.4342911556414
149,1942.4787900891397
150,1578.4091613594478
151,1148.1537914427631
152,1406.2531945929863
153,15.0
154,15.0
155,1796.036997731029
156,1861.9775699876598
157,1536.1194337983197
158,1099.445276633548
159,1353.8563644613869
160,15.0
161,1922.9269612800845
162,1993.7494501645274
163,1629.8579479669506
164,1245.6871623382572
165,1521.1568673130528
166,15.0
167,15.0
168,1918.8783912232411
169,1990.4443180512558
170,1607.815897444369
171,1210.613793686996
172,1462.5772776157698
173,15.0
174,15.0
175,1829.4268307872442
176,1952.664382268351
177,1540.4719884346787
178,1153.119115586032
179,1427.5447945533424
180,15.0
181,15.0
182,1783.6624303483186
183,1884.9239418262732
184,1509.8692531351085
185,1091.1295468568435
186,1379.5210380815502
187,15.0
188,1820.116120356833
189,1857.919979142378
190,1502.5903878347694
191,1330.7246710029672
192,1548.652206701991
193,15.0
194,1944.9981565882886
195,2022.579939305499
196,1673.2239090033754
197,1242.0731019314626
198,1530.37187516541
199,15.0
200,1931.8673383647624
201,1987.5047694356313
202,1636.6463865853425
203,1182.3264340092744
204,1489.2380071933906
205,15.0
206,1832.2149575252492
207,1912.587618315166
208,1587.4177887282099
209,1195.6649767779113
210,1445.2470433955518
211,15.0
212,15.0
213,1825.8056985095452
214,1928.4818557177564
215,1514.5076850453179
216,1097.746978887018
217,1375.4368877277338
