date,brand,predict
1,1,250.5721435546875
1,6,2.0643057823181152
1,9,40.69428253173828
2,4,61.51548767089844
2,6,-14.929828643798828
2,7,33.18289566040039
2,10,78.60709381103516
3,4,10.516496658325195
3,6,2.495932102203369
3,8,-36.201725006103516
4,1,628.4010009765625
4,2,378.8760986328125
4,3,247.69345092773438
4,4,1076.942138671875
4,6,249.38223266601562
4,7,238.1801300048828
4,8,207.99209594726562
4,9,509.8887939453125
4,10,898.3004150390625
5,1,727.4756469726562
5,2,412.1459045410156
5,3,391.1282958984375
5,4,1237.998291015625
5,6,174.9032440185547
5,7,249.77061462402344
5,8,72.90119934082031
5,9,969.7139892578125
5,10,691.4802856445312
6,1,780.360595703125
6,2,721.1941528320312
6,3,374.3990783691406
6,4,1264.9759521484375
6,6,251.61178588867188
6,7,210.3063201904297
6,8,170.06329345703125
6,9,705.14990234375
6,10,1146.4384765625
7,1,605.8902587890625
7,2,349.4228515625
7,3,347.53558349609375
7,4,858.3036499023438
7,6,197.4348602294922
7,7,323.65423583984375
7,8,37.983482360839844
7,9,483.8187561035156
7,10,950.4309692382812
8,1,546.684326171875
8,2,433.4198303222656
8,3,408.1136779785156
8,4,964.471923828125
8,6,374.060791015625
8,7,848.3023071289062
8,8,152.07464599609375
8,9,622.1552734375
8,10,1115.556640625
9,1,530.4140625
9,2,330.3366394042969
9,3,295.5899963378906
9,4,531.0867309570312
9,6,189.7073211669922
9,7,233.92041015625
9,8,68.44914245605469
9,9,489.6534729003906
9,10,655.8443603515625
10,1,399.47869873046875
10,2,379.8856506347656
10,3,228.75765991210938
10,4,406.42840576171875
10,6,151.12261962890625
10,7,228.392333984375
10,8,35.835975646972656
10,9,478.071044921875
10,10,705.5892944335938
11,1,428.8719482421875
11,2,337.1717834472656
11,3,305.5430908203125
11,4,525.512451171875
11,6,190.6575469970703
11,7,238.1368865966797
11,8,50.91892623901367
11,9,482.2312316894531
11,10,607.1116333007812
12,1,90.1293716430664
12,4,77.01171112060547
12,6,27.59336280822754
12,7,48.27275466918945
12,8,10.108994483947754
12,9,90.90580749511719
12,10,105.58039093017578
13,1,49.317222595214844
13,3,119.36054992675781
13,9,18.351848602294922
14,1,487.63671875
14,2,328.211181640625
14,3,340.42919921875
14,4,615.5479125976562
14,6,202.97006225585938
14,7,224.91915893554688
14,8,69.1286392211914
14,9,547.6654663085938
14,10,778.833740234375
15,1,529.6926879882812
15,2,326.2364196777344
15,3,306.54986572265625
15,4,697.8298950195312
15,6,251.01109313964844
15,7,285.87762451171875
15,8,127.1651382446289
15,9,566.478271484375
15,10,669.328369140625
16,1,479.08074951171875
16,2,354.941650390625
16,3,306.2889709472656
16,4,569.7915649414062
16,6,189.7073211669922
16,7,229.44810485839844
16,9,502.2539978027344
16,10,665.53759765625
17,1,399.47869873046875
17,2,263.8292236328125
17,3,199.75881958007812
17,4,406.42840576171875
17,6,151.12261962890625
17,7,193.60272216796875
17,8,46.19010925292969
17,9,342.5355224609375
17,10,470.9001159667969
18,1,413.4527893066406
18,2,337.5914611816406
18,3,294.5705261230469
18,4,462.8197021484375
18,6,190.5000457763672
18,7,228.14036560058594
18,8,59.42156219482422
18,9,467.4820251464844
18,10,615.5524291992188
19,1,106.45628356933594
19,3,84.17926025390625
19,4,77.47476196289062
19,6,23.929317474365234
19,7,43.70295333862305
19,9,98.64501190185547
19,10,114.78697204589844
20,1,44.566505432128906
20,6,-10.838001251220703
20,7,15.786334991455078
20,9,10.812811851501465
20,10,43.75933074951172
21,1,501.55810546875
21,2,328.7098388671875
21,3,340.42919921875
21,4,572.7872314453125
21,6,197.78382873535156
21,7,226.4016571044922
21,8,83.78618621826172
21,9,523.2984619140625
21,10,742.1282958984375
22,1,546.684326171875
22,2,411.30560302734375
22,3,333.47052001953125
22,4,654.5010986328125
22,6,224.5978546142578
22,7,285.87762451171875
22,8,127.1651382446289
22,9,563.75830078125
22,10,711.5145263671875
23,1,468.8471984863281
23,2,354.941650390625
23,3,287.4452209472656
23,4,531.0867309570312
23,6,184.4190216064453
23,7,246.7251739501953
23,8,70.91609954833984
23,9,488.8569641113281
23,10,619.575439453125
24,1,413.78179931640625
24,2,473.54119873046875
24,3,264.83673095703125
24,4,449.3310241699219
24,6,220.8556671142578
24,7,247.02017211914062
24,8,46.19010925292969
24,9,404.74755859375
24,10,758.1353759765625
25,1,455.1966247558594
25,2,337.1717834472656
25,3,294.8144836425781
25,4,525.512451171875
25,6,190.6575469970703
25,7,246.58123779296875
25,9,467.4820251464844
25,10,661.4083862304688
26,1,90.1293716430664
26,4,77.01171112060547
26,6,25.62917709350586
26,7,48.13972854614258
26,9,90.90580749511719
26,10,123.07275390625
27,1,44.566505432128906
28,1,487.63671875
28,2,318.687255859375
28,3,330.5892639160156
28,4,602.7218017578125
28,6,193.63449096679688
28,7,226.00962829589844
28,8,89.29351043701172
28,9,523.2984619140625
28,10,749.4452514648438
29,1,676.6897583007812
29,2,401.63018798828125
29,3,352.8182067871094
29,4,667.315673828125
29,6,250.73521423339844
29,7,246.0881805419922
29,8,39.52395248413086
29,9,653.9109497070312
29,10,872.3724365234375
30,1,593.1549682617188
30,2,395.90020751953125
30,3,298.9702453613281
30,4,680.4920654296875
30,6,193.44619750976562
30,7,218.259765625
30,8,53.20280838012695
30,9,766.4778442382812
30,10,710.3765869140625
31,1,547.7158813476562
31,2,363.9364318847656
31,3,283.91455078125
31,4,507.9700927734375
31,6,216.13931274414062
31,7,232.51263427734375
31,9,708.8145141601562
31,10,757.2415771484375
32,1,520.845703125
32,2,425.33636474609375
32,3,342.1999206542969
32,4,610.0048217773438
32,6,220.8542938232422
32,7,321.6243591308594
32,8,162.00888061523438
32,9,685.7799072265625
32,10,825.4317626953125
33,1,83.35968780517578
33,2,46.05160903930664
33,4,45.453826904296875
33,6,8.184778213500977
33,7,6.702634334564209
33,8,10.885673522949219
33,9,41.4129753112793
33,10,-0.00873476266860962
34,6,-4.812867164611816
34,9,7.102849960327148
35,1,492.76904296875
35,2,376.7122802734375
35,3,293.48065185546875
35,4,873.1548461914062
35,6,212.7345733642578
35,7,214.47415161132812
35,8,280.1571044921875
35,9,728.22314453125
35,10,983.7515869140625
36,1,903.3104248046875
36,2,616.7052001953125
36,3,297.55828857421875
36,4,947.5005493164062
36,6,269.52899169921875
36,7,258.2168884277344
36,8,66.6596908569336
36,9,863.8158569335938
36,10,818.76806640625
37,1,624.9444580078125
37,2,566.027099609375
37,3,118.5872573852539
37,4,604.7850952148438
37,6,198.0937042236328
37,7,199.81118774414062
37,8,94.6800765991211
37,9,699.6074829101562
37,10,712.1611328125
38,1,662.5511474609375
38,2,312.8674621582031
38,3,159.64402770996094
38,4,637.0872802734375
38,6,181.54550170898438
38,7,146.32398986816406
38,8,213.81092834472656
38,9,589.9503173828125
38,10,715.4135131835938
39,1,303.0725402832031
39,2,254.60130310058594
39,3,216.0357666015625
39,4,327.4554748535156
39,6,139.1138458251953
39,7,162.68753051757812
39,9,158.71792602539062
39,10,744.9527587890625
40,9,-21.575977325439453
40,10,-34.2291145324707
41,7,-2.281261444091797
42,1,597.8356323242188
42,2,339.8055114746094
42,3,202.41278076171875
42,4,834.9601440429688
42,6,172.8971710205078
42,7,-39.17394256591797
42,9,579.2227783203125
42,10,844.5420532226562
43,1,669.6737670898438
43,2,297.9036865234375
43,3,210.1573028564453
43,4,619.0045166015625
43,6,179.36439514160156
43,9,494.7619934082031
43,10,770.7066040039062
44,1,868.8358154296875
44,2,349.1817932128906
44,3,196.7924346923828
44,4,821.5088500976562
44,6,172.1077880859375
44,7,207.98204040527344
44,8,102.81861877441406
44,9,827.6460571289062
44,10,582.9402465820312
45,1,762.0729370117188
45,2,277.6018371582031
45,3,263.0203552246094
45,4,551.9790649414062
45,6,165.36355590820312
45,7,100.91275024414062
45,8,102.41634368896484
45,9,459.36138916015625
45,10,433.0758361816406
46,1,505.4279479980469
46,2,274.39697265625
46,3,131.04464721679688
46,4,527.6423950195312
46,6,138.68748474121094
46,7,212.7908172607422
46,8,50.01508331298828
46,9,439.9220275878906
46,10,382.0080261230469
47,1,314.0544128417969
47,2,168.81826782226562
47,3,153.02613830566406
47,4,389.8275146484375
47,6,127.0383529663086
