date,brand,predict
1250,1,310.4084167480469
1250,2,256.05938720703125
1250,3,266.9515686035156
1250,4,432.6373596191406
1250,5,295.4919128417969
1250,6,254.43698120117188
1250,7,285.0553894042969
1250,8,270.4024353027344
1250,9,851.253662109375
1250,10,454.09503173828125
1251,1,249.25038146972656
1251,2,189.468505859375
1251,3,211.2782440185547
1251,4,329.23553466796875
1251,5,231.0182647705078
1251,6,196.75929260253906
1251,7,231.22727966308594
1251,8,202.5166778564453
1251,9,643.0565795898438
1251,10,368.1867370605469
1252,1,281.99395751953125
1252,2,223.76242065429688
1252,3,238.94944763183594
1252,4,380.3869323730469
1252,5,257.2565612792969
1252,6,228.6577606201172
1252,7,263.0107421875
1252,8,234.45068359375
1252,9,797.8656616210938
1252,10,430.2779846191406
1253,1,79.8271713256836
1253,2,56.81828308105469
1253,3,71.6536865234375
1253,4,77.41993713378906
1253,5,84.12124633789062
1253,6,36.40775680541992
1253,7,73.95386505126953
1253,8,73.9127426147461
1253,9,133.5665740966797
1253,10,60.23588943481445
1254,4,32.34413146972656
1255,1,352.8756408691406
1255,2,265.4664611816406
1255,3,303.175537109375
1255,4,481.1706237792969
1255,5,351.2193603515625
1255,6,251.90884399414062
1255,7,286.31207275390625
1255,8,298.0978088378906
1255,9,869.696533203125
1255,10,512.48779296875
1256,1,361.5169372558594
1256,2,327.4305114746094
1256,3,342.9661560058594
1256,4,596.1683959960938
1256,5,362.4403076171875
1256,6,309.8448486328125
1256,7,359.3954772949219
1256,8,345.4824523925781
1256,9,943.738525390625
1256,10,528.6314086914062
1257,1,310.4084167480469
1257,2,256.05938720703125
1257,3,266.9515686035156
1257,4,432.6373596191406
1257,5,295.4919128417969
1257,6,254.43698120117188
1257,7,285.0553894042969
1257,8,270.4024353027344
1257,9,851.253662109375
1257,10,454.09503173828125
1258,1,249.25038146972656
1258,2,189.468505859375
1258,3,211.2782440185547
1258,4,329.23553466796875
1258,5,231.0182647705078
1258,6,196.75929260253906
1258,7,231.22727966308594
1258,8,202.5166778564453
1258,9,643.0565795898438
1258,10,368.1867370605469
1259,1,281.99395751953125
1259,2,223.76242065429688
1259,3,238.94944763183594
1259,4,380.3869323730469
1259,5,257.2565612792969
1259,6,228.6577606201172
1259,7,263.0107421875
1259,8,234.45068359375
1259,9,797.8656616210938
1259,10,430.2779846191406
1260,1,79.8271713256836
1260,2,56.81828308105469
1260,3,71.6536865234375
