date,predict
1,105.199713892
2,-482.45502771
3,5191.68864156
4,4889.09492587
5,5151.83325982
6,2092.24496102
7,2179.81696549
8,1828.1052969
9,1397.31543266
10,1656.19489636
11,-23.4851006691
12,2071.64804906
13,2186.7683913
14,1831.3671885
15,1355.64584594
16,1663.96536801
17,-42.2845704442
18,-130.270783576
19,2108.71392486
20,2223.97797489
21,1850.08488956
22,1409.88795333
23,1669.97670129
24,-17.0971769048
25,2078.33837744
26,2188.45710353
27,1825.94591549
28,1407.19702834
29,1677.17518495
30,-16.1770522102
31,-128.154996445
32,2077.17647447
33,2186.60654599
34,1829.21561087
35,1366.93250019
36,1355.49202803
37,-685.87107027
38,-445.858138302
39,3271.66690886
40,3338.8143252
41,3601.27970079
42,2199.56111539
43,1847.83651464
44,1447.69583033
45,1687.05678063
46,-6.53177671041
47,2086.98556061
48,2201.00950244
49,1866.16034872
50,1419.15172917
51,1632.2577802
52,-15.6696658882
53,2121.19361149
54,2244.04896001
55,1853.60288046
56,1422.49689336
57,1693.64451108
58,-40.5368647362
59,-97.0608387036
60,2098.40936256
61,2194.49013271
62,1885.54799729
63,1426.9602197
64,1692.56368775
65,-0.0682717566922
66,2101.75452674
67,2215.80880246
68,1860.31348384
69,1451.81887785
70,1695.7904001
71,-5.78807020932
72,2132.51756414
73,2254.08445257
74,1864.30584077
75,1393.26802678
76,1703.80477455
77,-29.2502104845
78,-93.7719863228
79,2103.3340375
80,2218.39806749
81,1866.82584512
82,-280.105917872
83,29.0213539976
84,198.2429536
85,1708.59847567
86,2144.51850161
87,2221.3957558
88,1870.3793889
89,1470.52930751
90,1703.10847176
91,-21.7257743166
92,2088.3113781
93,2224.82825116
94,1888.66599156
95,1489.8260771
96,1713.40770244
97,7.38739069587
98,-54.9843753739
99,2148.58681017
100,2231.94236422
101,1888.93923389
102,1473.86491848
103,1716.70156767
104,1835.5091419
105,1786.78239598
106,249.30154546
107,1449.25820685
108,1719.75948732
109,27.618289445
110,2143.91068077
111,2186.32033386
112,1844.00180378
113,1483.57700876
114,1665.81079707
115,9.90623454992
116,-83.143710779
117,2128.51584024
118,2190.08255195
119,1905.06615752
120,1462.60234264
121,1738.67590602
122,34.0062132092
123,2126.22190515
124,2280.84576607
125,1890.51119902
126,1465.87203801
127,1672.52140045
128,37.2001750914
129,2159.77471349
130,2244.45281238
131,1905.66505482
132,1466.32078519
133,1705.06674282
134,40.6029926799
135,-59.9120235676
136,2162.98980533
137,2201.3692062
138,1914.63898518
139,1469.54749754
140,1728.61986741
141,1836.55604871
142,1806.40056825
143,567.497876907
144,1469.78046764
145,1739.75862425
146,67.4253319153
147,-52.3876429502
148,2163.05633609
149,2253.76407765
150,1921.02087029
151,1476.00092224
152,1754.75136519
153,48.1247844553
154,-87.7119438228
155,2166.24727864
156,2241.24257465
157,1907.12608871
158,1496.83016352
159,1738.98965019
160,32.7397117348
161,2182.17504815
162,2246.80525877
163,1926.08626283
164,1505.8045373
165,1744.19108537
166,53.6165552383
167,-55.6664340622
168,2172.62916375
169,2250.07495415
170,1911.99981804
171,1503.26034719
172,1724.23051412
173,27.1830607742
174,-54.2078842794
175,2137.2202132
176,2223.9425147
177,1933.7846405
178,1506.47543902
179,1754.85985541
180,30.9452788581
181,-50.9927924462
182,2140.98243128
183,2269.50993399
184,1920.30154961
185,1515.38642295
186,1770.82682435
187,64.9557358844
188,2191.23221976
189,2266.45559305
190,1935.77153251
191,1518.58038483
192,1757.09793478
193,38.469715026
194,2189.04633156
195,2263.15373566
196,1939.11669669
197,1498.5879087
198,1777.25700802
199,60.6025286242
200,2202.27163717
201,2280.68532987
202,1943.32255272
203,1507.19170226
204,1780.47209985
205,63.947692811
206,2191.77481908
207,2286.79647419
208,1946.53764456
209,1510.54700395
210,1749.35046787
211,78.721679559
212,5.22857998792
213,2178.69330304
214,2287.27306032
215,1952.18166533
216,1525.76599002
217,1775.99114174
218,62.097039544
219,-24.8670963346
220,2182.03846723
221,2282.42540246
222,1940.06474097
223,1553.64492817
224,1771.60890332
225,105.716642561
226,2216.98353658
227,2296.47661125
228,1941.0402292
229,1512.8163264
230,1780.38739584
231,87.8436035327
232,2214.06569694
233,2337.71355724
234,1946.65247142
235,-331.194213117
236,50.289479441
237,1759.39794003
238,2185.07642196
239,2341.05872143
240,1965.69406604
241,1519.50665477
242,1759.36409482
243,95.4571026539
244,1721.33690386
245,2225.75874898
246,-93.3981896029
247,-284.597673817
248,-89.1668069726
249,-273.958579333
250,4868.58430721
251,1926.77060162
252,1526.19698315
253,1787.91852988
254,1912.16422707
255,-8.69221044158
256,2224.07655016
257,2313.64137275
258,1930.53281971
259,1572.79058349
260,1768.94598046
261,104.192080424
262,2205.45461653
263,2295.48859806
264,1975.47347106
265,1561.86321625
266,1783.21043062
267,96.3217518059
268,2239.17995573
269,2280.37578596
270,1981.64877881
271,1544.10002082
272,1797.70430581
273,111.590664411
274,2243.33445839
275,2284.13800404
276,1981.90365472
277,1563.29585118
278,1802.2719077
279,104.089663052
280,2230.06612972
281,2308.92947096
282,1960.003426
283,1550.81062419
284,1800.06149301
285,94.9029862847
286,2249.24586079
287,2324.9626643
288,1988.33383839
289,1521.18344163
290,1807.49008175
291,120.722588982
292,44.0949727177
293,2222.18043747
294,2295.4246583
295,1991.54893022
296,1549.61313245
297,1806.60088377
298,112.791077937
299,2243.90044154
300,2318.73855709
301,1994.76402206
302,1595.12718137
303,1814.01393237
304,107.763993914
305,2221.04307112
306,2340.48378625
307,1997.97911389
308,1556.66873103
309,1769.82514938
310,130.349643451
311,2219.98901104
312,2381.20069167
313,2003.98537669
314,1577.20745935
315,1797.6916374
316,113.714076704
317,2256.22746849
318,2384.54585586
319,1992.76658459
320,1567.23259474
321,1800.88559929
322,136.212993437
323,2227.51344721
324,2343.78664899
325,4984.99473826
326,5046.98362196
327,3686.13784363
328,2231.27566529
329,2351.33072122
330,1995.89433917
331,1592.04150812
332,1826.21905604
333,124.073620475
334,2276.27311066
335,2394.58134842
336,2004.59145639
337,1601.00632
